source_name,target_name,value,source,target
javascript,jquery,38114,0,5
css,html,24721,9,7
html,javascript,23226,7,0
html,jquery,16186,7,5
android,java,15896,3,1
mysql,php,15280,11,2
ios,objective-c,13485,8,18
angularjs,javascript,13200,12,0
ios,swift,12398,8,15
css,javascript,11143,9,0
css,jquery,9783,9,5
asp.net,c#,9414,20,4
javascript,php,7912,0,2
ajax,jquery,7469,26,5
.net,c#,7461,30,4
html,php,7173,7,2
ruby,ruby-on-rails,7024,24,17
jquery,php,6429,5,2
sql,sql-server,6376,13,23
ajax,javascript,6268,26,0
javascript,node.js,5930,0,22
java,spring,5893,1,34
django,python,5756,32,6
c#,wpf,5754,4,41
mysql,sql,5693,11,13
ios,xcode,5634,8,38
ios,iphone,4986,8,58
asp.net-mvc,c#,4878,29,4
java,swing,4737,1,70
php,wordpress,4696,2,33
excel,vba,4642,31,43
arrays,php,4324,14,2
python,python-2.7,4303,6,50
laravel,php,4229,52,2
javascript,json,4224,0,21
excel,excel-vba,4209,31,54
css,twitter-bootstrap,4174,9,35
excel-vba,vba,4159,54,43
ajax,php,4079,26,2
eclipse,java,4055,40,1
html5,javascript,4033,39,0
android,android-studio,3837,3,72
css,css3,3670,9,61
html,twitter-bootstrap,3412,7,35
ruby-on-rails,ruby-on-rails-4,3395,17,69
arrays,java,3375,14,1
arrays,javascript,3333,14,0
c#,entity-framework,3229,4,66
hibernate,java,3090,74,1
jquery,twitter-bootstrap,2889,5,35
oracle,sql,2887,49,13
css3,html,2752,61,7
database,mysql,2715,36,11
json,php,2649,21,2
javascript,twitter-bootstrap,2560,0,35
php,symfony2,2551,2,68
swift,xcode,2501,15,38
asp.net,asp.net-mvc,2400,20,29
java,multithreading,2370,1,48
jquery,json,2302,5,21
php,sql,2299,2,13
java,xml,2243,1,28
java,json,2194,1,21
list,python,2152,64,6
forms,php,2146,53,2
c,c++,2136,16,10
html,html5,2123,7,39
objective-c,xcode,2085,18,38
c#,sql-server,2083,4,23
java,string,2070,1,37
iphone,objective-c,2033,58,18
angularjs,html,1984,12,7
android,eclipse,1982,3,40
css,html5,1970,9,39
database,sql,1928,36,13
asp.net,javascript,1915,20,0
.htaccess,apache,1901,71,55
mongodb,node.js,1896,42,22
java,mysql,1883,1,11
bash,linux,1879,47,27
android,xml,1848,3,28
.htaccess,php,1835,71,2
html5,jquery,1818,39,5
android,cordova,1815,3,65
javascript,regex,1814,0,25
apache,php,1804,55,2
angularjs,jquery,1787,12,5
arrays,c,1779,14,16
android,json,1757,3,21
ruby,ruby-on-rails-4,1674,24,69
c#,javascript,1651,4,0
arrays,c++,1608,14,10
database,php,1605,36,2
forms,javascript,1599,53,0
php,regex,1595,2,25
forms,html,1580,53,7
objective-c,swift,1568,18,15
asp.net,jquery,1497,20,5
c#,sql,1485,4,13
java,regex,1477,1,25
c#,xml,1464,4,28
c,linux,1448,16,27
css,php,1422,9,2
postgresql,sql,1393,59,13
python,regex,1393,6,25
css3,html5,1368,61,39
asp.net-mvc,jquery,1290,29,5
c#,json,1281,4,21
ajax,html,1252,26,7
java,javascript,1224,1,0
c#,jquery,1202,4,5
ajax,json,1191,26,21
java,rest,1176,1,67
forms,jquery,1173,53,5
html,mysql,1172,7,11
c#,multithreading,1164,4,48
hibernate,spring,1153,74,34
android,javascript,1149,3,0
android,facebook,1148,3,63
arrays,json,1128,14,21
arrays,python,1124,14,6
javascript,ruby-on-rails,1124,0,17
python,string,1118,6,37
arrays,string,1091,14,37
android,ios,1088,3,8
cordova,javascript,1083,65,0
css,wordpress,1059,9,33
angularjs,json,1051,12,21
asp.net-mvc,javascript,1051,29,0
android-studio,java,1043,72,1
css3,javascript,1013,61,0
android,php,991,3,2
iphone,swift,984,58,15
jquery,wordpress,984,5,33
php,xml,975,2,28
function,javascript,974,73,0
javascript,mysql,969,0,11
javascript,mongodb,964,0,42
algorithm,java,955,60,1
asp.net,vb.net,946,20,44
css3,jquery,940,61,5
html,image,934,7,57
c++,windows,933,10,46
html,wordpress,932,7,33
c++,linux,928,10,27
json,python,925,21,6
javascript,wordpress,919,0,33
asp.net-mvc,entity-framework,913,29,66
c++,multithreading,902,10,48
arrays,c#,891,14,4
.net,asp.net,882,30,20
angularjs,node.js,880,12,22
iphone,xcode,876,58,38
regex,string,875,25,37
c++,string,864,10,37
angularjs,css,860,12,9
arrays,jquery,851,14,5
c#,regex,849,4,25
java,sql,836,1,13
html,java,819,7,1
jquery,mysql,816,5,11
c,string,802,16,37
c#,windows,791,4,46
asp.net,html,784,20,7
facebook,ios,780,63,8
jquery,ruby-on-rails,773,5,17
c#,html,766,4,7
mysql,python,764,11,6
html,python,758,7,6
cordova,ios,751,65,8
database,java,746,36,1
database,sql-server,743,36,23
angularjs,twitter-bootstrap,742,12,35
ios,javascript,727,8,0
css,image,724,9,57
objective-c,osx,713,18,56
linux,python,707,27,6
c#,mysql,704,4,11
postgresql,ruby-on-rails,693,59,17
image,javascript,672,57,0
algorithm,c++,671,60,10
android,multithreading,670,3,48
android,image,668,3,57
c#,excel,667,4,31
asp.net,sql-server,663,20,23
php,string,657,2,37
image,php,649,57,2
c#,string,648,4,37
c#,vb.net,644,4,44
c#,list,642,4,64
.net,vb.net,634,30,44
laravel,mysql,632,52,11
facebook,php,605,63,2
multithreading,python,601,48,6
android,database,600,3,36
function,python,596,73,6
c#,database,595,4,36
json,mysql,588,21,11
json,rest,587,21,67
java,oracle,586,1,49
ios,json,584,8,21
android,mysql,583,3,11
android,c#,573,3,4
image,java,571,57,1
arrays,ruby,564,14,24
function,php,562,73,2
mysql,sql-server,558,11,23
java,list,557,1,64
ajax,mysql,555,26,11
arrays,mysql,550,14,11
java,linux,545,1,27
javascript,python,545,0,6
angularjs,cordova,540,12,65
arrays,swift,538,14,15
.net,wpf,537,30,41
apache,java,535,55,1
c#,c++,532,4,10
python,windows,524,6,46
android,html,519,3,7
c++,java,507,10,1
ajax,c#,503,26,4
facebook,javascript,499,63,0
html5,php,498,39,2
python,xml,492,6,28
ajax,asp.net,491,26,20
ajax,asp.net-mvc,491,26,29
mysql,wordpress,491,11,33
osx,swift,491,56,15
asp.net,entity-framework,486,20,66
javascript,xml,485,0,28
c++,function,480,10,73
hibernate,mysql,480,74,11
java,php,480,1,2
angularjs,php,478,12,2
php,twitter-bootstrap,475,2,35
asp.net,sql,474,20,13
entity-framework,sql-server,474,66,23
java,scala,471,1,62
html,json,469,7,21
java,mongodb,468,1,42
angularjs,html5,467,12,39
json,node.js,462,21,22
database,oracle,460,36,49
linux,php,455,27,2
osx,python,454,56,6
android,arrays,453,3,14
osx,xcode,449,56,38
c++,python,448,10,6
javascript,string,445,0,37
.htaccess,wordpress,438,71,33
rest,spring,432,67,34
.net,asp.net-mvc,427,30,29
asp.net,css,423,20,9
mysql,ruby-on-rails,423,11,17
c#,java,415,4,1
android,c++,410,3,10
c,function,409,16,73
algorithm,arrays,403,60,14
arrays,ios,402,14,8
bash,regex,401,47,25
php,sql-server,400,2,23
java,jquery,397,1,5
json,ruby-on-rails,397,21,17
algorithm,python,396,60,6
image,jquery,395,57,5
java,windows,395,1,46
html,xml,392,7,28
database,postgresql,390,36,59
c,multithreading,389,16,48
php,rest,386,2,67
postgresql,python,386,59,6
forms,symfony2,385,53,68
ajax,ruby-on-rails,384,26,17
arrays,matlab,375,14,45
mongodb,python,375,42,6
angularjs,arrays,373,12,14
java,postgresql,373,1,59
jquery,regex,369,5,25
json,swift,366,21,15
c#,image,356,4,57
r,regex,356,19,25
.net,entity-framework,354,30,66
arrays,html,350,14,7
html,ruby-on-rails,348,7,17
html,regex,346,7,25
ios,osx,346,8,56
html,ios,344,7,8
django,python-2.7,340,32,50
arrays,function,339,14,73
ajax,angularjs,337,26,12
asp.net-mvc,html,337,29,7
css,ruby-on-rails,337,9,17
django,javascript,331,32,0
html5,twitter-bootstrap,330,39,35
mysql,node.js,328,11,22
c++,osx,327,10,56
css3,twitter-bootstrap,327,61,35
javascript,ruby,325,0,24
ajax,wordpress,324,26,33
ajax,forms,323,26,53
angularjs,rest,321,12,67
android,css,318,3,9
mongodb,php,318,42,2
cordova,jquery,317,65,5
excel,java,317,31,1
ajax,java,316,26,1
java,osx,315,1,56
android,string,309,3,37
c#,forms,309,4,53
sql,vb.net,305,13,44
arrays,list,303,14,64
c,windows,302,16,46
javascript,rest,301,0,67
algorithm,c,299,60,16
image,python,299,57,6
forms,mysql,298,53,11
c#,mongodb,297,4,42
c#,rest,297,4,67
regex,ruby,296,25,24
json,xml,294,21,28
bash,python,293,47,6
ruby-on-rails,twitter-bootstrap,292,17,35
css,ios,291,9,8
forms,ruby-on-rails,287,53,17
function,r,287,73,19
django,forms,286,32,53
java,python,284,1,6
function,jquery,283,73,5
json,spring,283,21,34
android,jquery,282,3,5
angularjs,asp.net-mvc,282,12,29
django,html,282,32,7
jquery,node.js,282,5,22
sql-server,xml,278,23,28
c++,eclipse,276,10,40
ios,php,273,8,2
sql-server,vb.net,273,23,44
.htaccess,regex,267,71,25
python,sql,267,6,13
.net,sql-server,266,30,23
json,objective-c,266,21,18
c,python,265,16,6
excel,python,265,31,6
asp.net,json,264,20,21
list,r,263,64,19
django,postgresql,262,32,59
linux,windows,262,27,46
ruby-on-rails,sql,262,17,13
android,rest,261,3,67
asp.net-mvc,json,261,29,21
c#,oracle,259,4,49
c++,xcode,255,10,38
list,string,255,64,37
bash,osx,250,47,56
html,node.js,246,7,22
json,ruby,246,21,24
android,angularjs,245,3,12
android,html5,240,3,39
django,jquery,240,32,5
postgresql,ruby,240,59,24
c#,ios,239,4,8
list,python-2.7,238,64,50
c,java,237,16,1
database,python,237,36,6
image,matlab,237,57,45
java,sql-server,237,1,23
angularjs,forms,236,12,53
.net,multithreading,235,30,48
apache,linux,235,55,27
django,mysql,232,32,11
android-studio,eclipse,230,72,40
jquery,xml,229,5,28
angularjs,c#,228,12,4
image,ios,227,57,8
algorithm,c#,225,60,4
html,sql,223,7,13
javascript,ruby-on-rails-4,223,0,69
angularjs,ruby-on-rails,221,12,17
mysql,ruby,218,11,24
json,mongodb,217,21,42
entity-framework,sql,216,66,13
mysql,vb.net,214,11,44
arrays,mongodb,213,14,42
php,python,213,2,6
database,ruby-on-rails,212,36,17
forms,python,212,53,6
.net,windows,210,30,46
angularjs,java,210,12,1
apache,regex,208,55,25
php,postgresql,208,2,59
database,mongodb,204,36,42
asp.net-mvc,twitter-bootstrap,201,29,35
android,linux,200,3,27
android,python,199,3,6
json,scala,199,21,62
hibernate,postgresql,198,74,59
apache,python,197,55,6
sql,xml,197,13,28
arrays,ruby-on-rails,195,14,17
css,forms,194,9,53
c#,css,193,4,9
ajax,twitter-bootstrap,192,26,35
algorithm,javascript,191,60,0
asp.net,twitter-bootstrap,191,20,35
apache,mysql,190,55,11
jquery,python,190,5,6
r,string,190,19,37
string,swift,189,37,15
ios,multithreading,188,8,48
spring,xml,188,34,28
arrays,objective-c,187,14,18
excel,vb.net,187,31,44
angularjs,mongodb,186,12,42
asp.net-mvc,sql-server,186,29,23
javascript,laravel,186,0,52
android,sql,185,3,13
linux,mysql,185,27,11
ajax,django,184,26,32
arrays,excel,184,14,31
hibernate,sql,184,74,13
jquery,laravel,183,5,52
database,javascript,182,36,0
matlab,python,182,45,6
facebook,java,181,63,1
mysql,spring,181,11,34
arrays,vba,179,14,43
.net,javascript,178,30,0
python,rest,178,6,67
bash,git,177,47,51
php,windows,177,2,46
angularjs,asp.net,176,12,20
mysql,symfony2,175,11,68
sql,vba,175,13,43
asp.net-mvc,css,174,29,9
cordova,html5,174,65,39
osx,php,174,56,2
.net,sql,173,30,13
facebook,objective-c,173,63,18
jquery,ruby-on-rails-4,172,5,69
c++,matlab,171,10,45
ios,jquery,171,8,5
apache,django,169,55,32
asp.net,mysql,169,20,11
function,html,168,73,7
arrays,regex,166,14,25
facebook,swift,165,63,15
c++,ios,164,10,8
linux,multithreading,164,27,48
node.js,rest,164,22,67
c#,php,163,4,2
html,ruby,163,7,24
vb.net,wpf,163,44,41
arrays,node.js,162,14,22
